;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
C�D;CLASSIFICA��O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
553;ISENTO;NACIONAL;289,83;289,83;289,83;289,83;0;289,83;309,37;289,83;289,83;0;0;289,83;0;0;289,83;0;289,83;289,83;0;0;289,83;289,83
554;ISENTO;NACIONAL;58,24;58,24;58,24;58,24;0;58,24;62,17;58,24;58,24;0;0;58,24;0;0;58,24;0;58,24;58,24;0;0;58,24;58,24
560;TRIBUTADO;NACIONAL;1106,07;1119,56;0;1119,56;0;0;0;0;0;0;0;0;0;1106,07;1106,07;1112,78;1119,56;1119,56;1147,55;0;1106,07;0
561;TRIBUTADO;IMPORTADO;553,02;559,77;0;559,77;0;553,02;0;556,38;559,77;0;0;573,76;0;553,02;553,02;0;559,77;559,77;0;0;553,02;0
563;TRIBUTADO;NACIONAL;451,46;457,56;0;450,66;0;0;0;0;0;0;0;0;0;434,62;412,61;437,54;440,49;440,49;452,73;0;470,91;0
565;TRIBUTADO;NACIONAL;1403,61;1422,08;0;1407,91;0;0;0;0;0;0;0;0;0;1346,33;1279,84;1355,13;1364,04;1364,04;1400,91;0;1444,93;0
569;ISENTO;IMPORTADO;818,24;818,24;818,24;818,24;0;818,24;0;818,24;818,24;0;0;818,24;0;0;818,24;0;818,24;818,24;0;0;818,24;818,24
572;TRIBUTADO;NACIONAL;267,88;271,36;0;273,74;0;0;0;0;0;0;0;0;0;253,8;238,34;255,47;257,14;257,14;264,09;0;267,79;0
585;TRIBUTADO;IMPORTADO;910,4471656;921,55;0;921,55;0;910,4471656;0;915,9644855;921,55;0;0;944,58875;0;910,45;910,4471656;0;921,55;921,55;0;0;910,4471656;0
598;TRIBUTADO;IMPORTADO;681,22;689,53;0;676,91;0;579,91;0;583,65;587,44;0;0;603,11;0;729,58;505,66;0;622,45;622,45;0;0;579,92;0
