CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
1344         ;22E74I                        ;090522    ;300524    ;141       
1344         ;22E75D                        ;070522    ;300524    ;23        
1344         ;22E75E                        ;090522    ;300524    ;141       
1344         ;22E867                        ;020522    ;300524    ;140       
1344         ;22E868                        ;040522    ;300524    ;60        
1344         ;22E869                        ;040522    ;300524    ;141       
1344         ;22E95H                        ;090522    ;300524    ;141       
1344         ;22E96H                        ;090522    ;300524    ;142       
1345         ;12220421A                     ;170722    ;300624    ;2629      
1345         ;12220435A                     ;180722    ;300624    ;2700      
1484         ;0050/22M                      ;200122    ;301223    ;69        
1484         ;0051/22M                      ;200122    ;301223    ;2309      
1484         ;0089/22M                      ;010222    ;300124    ;2311      
1484         ;0143/22M                      ;010222    ;300124    ;2308      
1484         ;0157/22M                      ;240222    ;300124    ;2261      
1484         ;0158/22M                      ;230222    ;300124    ;1739      
1484         ;0163/22M                      ;030322    ;280224    ;1334      
1484         ;0676/22M                      ;210722    ;300624    ;2174      
1484         ;0677/22M                      ;230722    ;300624    ;2307      
1484         ;0678/22M                      ;230722    ;300624    ;46        
1484         ;0679/22M                      ;250722    ;300624    ;2317      
1484         ;0680/22M                      ;260722    ;300624    ;2312      
1484         ;0681/22M                      ;260722    ;300624    ;2310      
1484         ;0734/22M                      ;260722    ;300624    ;1837      
1516         ;B21H0292                      ;040821    ;300824    ;11220     
1516         ;B21H1590                      ;160821    ;300824    ;2271      
1687         ;22B96A                        ;040222    ;280224    ;3         
1687         ;22J777                        ;270922    ;270924    ;20        
1716         ;22D68Y                        ;200422    ;300424    ;177       
1815         ;22B953                        ;070222    ;280224    ;115       
1815         ;22C74N                        ;120322    ;300324    ;75        
1815         ;22D282                        ;280322    ;300324    ;103       
1815         ;22D421                        ;280322    ;300324    ;48        
1815         ;22J65A                        ;230922    ;230924    ;117       
1815         ;22J801                        ;270922    ;270924    ;73        
1815         ;22J978                        ;270922    ;270924    ;60        
1937         ;0006862                       ;200721    ;300723    ;3         
1971         ;21K99C                        ;131121    ;301123    ;1         
1971         ;22E40G                        ;120522    ;300524    ;2         
1971         ;22E898                        ;070522    ;300524    ;3         
1980         ;30300221                      ;010121    ;300123    ;447       
2015         ;21110108                      ;031121    ;301123    ;300       
2163         ;1070408                       ;170222    ;280224    ;746       
2374         ;21I23J                        ;240921    ;300923    ;1668      
2374         ;21I78B                        ;150921    ;300923    ;803       
2374         ;22F79H                        ;100622    ;300624    ;421       
2544         ;22G12E                        ;010722    ;300724    ;25        
2544         ;22G20E                        ;040722    ;300724    ;88        
2544         ;22G22E                        ;040722    ;300724    ;89        
2544         ;22G23E                        ;040722    ;300724    ;91        
2544         ;22G24E                        ;040722    ;300724    ;86        
2544         ;22G25E                        ;060722    ;300724    ;88        
2544         ;22G26E                        ;060722    ;300724    ;90        
2544         ;22G787                        ;010722    ;300724    ;80        
2544         ;22G93I                        ;060722    ;300724    ;83        
2544         ;22G94I                        ;060722    ;300724    ;89        
2544         ;22I014                        ;270822    ;270824    ;86        
2544         ;22J010                        ;290922    ;290924    ;80        
2544         ;22J077                        ;300922    ;300924    ;81        
2544         ;22J078                        ;300922    ;300924    ;86        
2544         ;22J079                        ;300922    ;300924    ;86        
2544         ;22J34C                        ;061022    ;061024    ;91        
2544         ;22J83B                        ;061022    ;061024    ;90        
2544         ;22J84B                        ;061022    ;061024    ;82        
2544         ;22J85B                        ;061022    ;061024    ;89        
2544         ;22J98A                        ;061022    ;061024    ;31        
2544         ;22J99A                        ;061022    ;061024    ;88        
2551         ;22H39M                        ;080822    ;300824    ;17        
2551         ;22H40M                        ;080822    ;300824    ;6         
2551         ;22I562                        ;010922    ;300924    ;128       
2559         ;1385143                       ;161021    ;301023    ;142       
2559         ;1385144                       ;051121    ;301123    ;200       
2559         ;1385145                       ;040822    ;300824    ;500       
2559         ;1385146                       ;040822    ;040824    ;200       
2559         ;1385146                       ;040822    ;300824    ;400       
2568         ;22G30Y                        ;190722    ;300724    ;9         
2678         ;22E1A8                        ;250522    ;300524    ;3         
2678         ;22H03M                        ;160822    ;300824    ;20        
2729         ;AV-010/21                     ;010621    ;300523    ;127       
2841         ;010081                        ;011020    ;301025    ;677       
3334         ;220646                        ;010822    ;300824    ;100       
3334         ;220649                        ;010822    ;300824    ;300       
3373         ;28882792                      ;010720    ;300722    ;10        
3373         ;28882881                      ;220822    ;300824    ;136       
3373         ;28882885                      ;030922    ;300924    ;5         
3388         ;0016741                       ;230922    ;300924    ;69        
3388         ;0016742                       ;230922    ;300924    ;651       
3438         ;1935487                       ;231121    ;301123    ;1         
3460         ;22H59V                        ;230822    ;300824    ;4         
3471         ;21J951                        ;081021    ;301023    ;600       
3471         ;22A46I                        ;130122    ;300124    ;1790      
3472         ;21L678                        ;031221    ;301223    ;15        
